Participant ID,Timestamp,Age,Gender,Major or Occupation,What is your previous experience with Virtual Reality?,How frequently do you play 3D video games?,How would you rate your knowledge of super hero comic books?,How would you rate your knowledge of super hero movies?,How easily do you become deeply involved in movies or TV dramas?,How often do you become so involved in a TV program or book that people have problems getting your attention?,How mentally alert do you feel right now?,How good are you at blocking out external distractions when you are involved in something?,"When watching sports, do you ever become so involved in the game that you react as if you were one of the players?",Do you ever have dreams that are so real that you feel disoriented when you awake?,"When playing sports, do you ever become so involved in the game that you lose track of time?",How well do you concentrate on enjoyable activities?,Have you ever gotten excited during a chase or fight scene on TV or in the movies?,Do you ever become so involved in doing something that you lose track of time?
1,2017/07/21 12:15:23 PM EST,23,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Regularly, at least once a week",2,3,3,2,6,4,6,5,6,6,6,7
2,2017/07/24 9:12:44 AM EST,19,Male,Computer Science,"Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Frequently, almost every day",2,4,5,3,6,5,3,5,6,6,5,7
3,2017/07/24 10:32:51 AM EST,19,Male,Computer Science,"Immersive, head-mounted displays (e.g., Oculus Rift)","Occasionally, about once a month",3,7,7,6,7,6,1,2,5,7,7,5
4,2017/07/24 12:18:20 PM EST,28,Male,Nursing,"Online virtual worlds and video games (e.g., World of Warcraft)","Occasionally, about once a month",4,4,6,6,7,7,7,6,7,7,7,7
5,2017/07/25 11:35:51 AM EST,21,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Rarely, only a few times a year",2,4,6,3,2,5,1,3,7,7,5,7
6,2017/07/25 2:17:17 PM EST,23,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Regularly, at least once a week",7,7,5,4,6,7,2,4,7,7,7,5
7,2017/07/26 9:43:53 AM EST,20,Male,Computer Science,"Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",1,4,6,2,7,3,4,4,4,6,6,5
8,2017/07/26 12:11:35 PM EST,24,Male,Chemical Engineering,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Never, only a few times ever",2,4,6,5,5,5,7,6,7,7,5,6
9,2017/07/26 2:03:43 PM EST,22,Female,student,none,"Never, only a few times ever",2,2,2,3,4,3,3,4,4,5,5,5
10,2017/07/27 11:57:24 AM EST,24,Male,Computer Science,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",4,5,5,4,5,3,2,6,6,7,5,7
11,2017/07/27 1:44:08 PM EST,24,Male,Grad Student,No prior personal experience,"Never, only a few times ever",2,4,4,6,5,5,5,5,3,3,3,7
12,2017/07/28 2:28:57 PM EST,22,Male,human computer interaction,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift);kinect","Occasionally, about once a month",5,5,6,5,4,5,5,5,6,6,5,6
13,2017/08/07 9:59:14 AM EST,21,Male,Cell Biology and Molecular Genetics,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",5,6,5,2,6,6,6,7,5,7,7,6
14,2017/08/07 12:01:22 PM EST,22,Male,"MS, Telecom","Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",4,4,6,3,6,6,5,2,3,6,4,2
15,2017/08/08 12:00:50 PM EST,19,Male,Computer engineering,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Rarely, only a few times a year",5,6,5,5,6,3,6,4,6,4,6,6
16,2017/08/09 10:10:06 AM EST,31,Female,Research Coordinator; PhD Candidate in HCI,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",2,5,6,6,5,5,1,2,1,5,4,7
17,2017/08/09 12:00:54 PM EST,21,Female,Computer Science and Linguistics,"Online virtual worlds and video games (e.g., World of Warcraft)","Never, only a few times ever",2,3,6,3,6,5,1,6,4,6,5,7
18,2017/08/10 2:26:56 PM EST,21,Female,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Never, only a few times ever",2,3,3,2,5,2,2,5,5,5,5,7
19,2017/08/14 1:52:48 PM EST,20,Female,Information Science,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",5,6,4,3,6,5,1,7,1,5,6,6
20,2017/08/22 9:56:16 AM EST,18,Male,Business,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Rarely, only a few times a year",3,6,6,2,6,6,7,4,6,6,5,4
21,2017/08/22 2:18:50 PM EST,23,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Frequently, almost every day",4,5,6,7,6,7,4,3,4,7,6,6
22,2017/08/23 10:37:59 AM EST,18,Male,intern,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",2,3,3,3,5,4,3,5,5,6,6,6
23,2017/08/23 11:55:16 AM EST,37,Male,Business Development Manager,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Gear VR and Project Tango","Occasionally, about once a month",4,3,2,4,6,7,2,4,5,5,4,6
24,2017/08/24 9:57:02 AM EST,18,Male,Intern,"Augmented reality (e.g., Pokemon Go)","Occasionally, about once a month",5,5,4,3,6,6,4,5,7,6,6,6
25,2017/08/24 11:30:14 AM EST,18,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Frequently, almost every day",5,6,6,7,4,7,2,5,2,7,4,7
26,2017/08/24 2:03:29 PM EST,24,Female,ENEE Grad Student,"Immersive, room-scale reality (e.g., IMAX)","Never, only a few times ever",2,2,4,3,5,5,6,6,5,7,7,6
27,2017/08/25 10:00:37 AM EST,19,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",2,4,5,2,6,6,3,5,6,7,6,6
28,2017/08/31 12:54:15 PM EST,23,Male,Systems Engineering ,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Regularly, at least once a week",3,6,6,4,6,5,4,7,7,6,4,7
29,2017/09/01 11:14:51 AM EST,24,Male,CS  Graduate Student,"Online virtual worlds and video games (e.g., World of Warcraft);Immersive, room-scale reality (e.g., IMAX)","Rarely, only a few times a year",6,6,5,6,7,6,5,6,4,6,6,6
30,2017/09/01 12:51:05 PM EST,19,Male,Electrical Engineering,"Augmented reality (e.g., Pokemon Go)","Never, only a few times ever",2,7,7,3,7,4,7,7,7,7,7,7
31,2017/11/01 2:22:06 PM EST,25,Male,public policy,"Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",5,4,6,5,6,7,7,5,6,7,7,7
32,2017/11/03 2:06:40 PM EST,22,Female,Computer Science and Math,"Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",2,2,4,4,3,6,5,5,4,6,5,3
33,2017/11/05 3:06:37 PM EST,20,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Frequently, almost every day",4,5,3,2,6,4,2,4,3,5,5,7
34,2017/11/05 4:44:58 PM EST,21,Male,Computer Science (Major),"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Occasionally, about once a month",3,5,4,2,6,6,3,2,5,7,5,5
35,2017/11/10 2:59:34 PM EST,19,Female,CS,"Augmented reality (e.g., Pokemon Go)","Never, only a few times ever",2,2,5,3,5,4,4,6,6,6,6,6
36,2017/11/12 5:16:04 PM EST,20,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Occasionally, about once a month",6,5,5,3,6,3,5,2,4,6,6,7
37,2017/11/19 2:51:45 PM EST,21,Female,Sociology ,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Rarely, only a few times a year",2,2,7,4,5,2,7,4,7,7,3,5
38,2017/12/06 3:03:56 PM EST,21,Male,Computer Science,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Never, only a few times ever",3,4,4,2,4,6,3,6,5,7,5,5
39,2017/12/13 4:06:25 PM EST,19,Male,Information Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Occasionally, about once a month",2,2,4,3,5,3,2,5,4,5,6,6
40,2017/12/13 4:48:57 PM EST,23,Male,Mechanical Engineering,"Online virtual worlds and video games (e.g., World of Warcraft)","Never, only a few times ever",2,3,7,5,5,4,2,5,5,5,6,6
41,2017/12/18 11:36:26 AM EST,22,Male,Math,"Immersive, head-mounted displays (e.g., Oculus Rift)","Occasionally, about once a month",4,4,3,2,1,5,1,4,3,6,2,5
